symbol,resume_utc,gap_up,rvol_massive,verdict_massive,reason
NXTS,2026-05-08 13:35:57,-0.1021,,SKIP,gap -10.21%
TC,2026-05-08 13:40:16,-0.0222,,SKIP,gap -2.22%
BUUU,2026-05-08 13:41:44,0.0,,SKIP,gap 0.00%
RDACU,2026-05-08 13:42:47,,,SKIP,no pre-halt bar
PN,2026-05-08 13:44:04,-0.0014,,SKIP,gap -0.14%
PHOE,2026-05-08 13:46:00,0.3478,,SKIP,empty rvol window
AEHL,2026-05-08 13:49:13,0.8543,0.58,SKIP,rvol 0.58
BUUU,2026-05-08 13:53:25,-0.22,,SKIP,gap -22.00%
PHOE,2026-05-08 13:53:34,0.2622,3.32,PASS,ok
PHOE,2026-05-08 13:59:12,0.1104,0.35,SKIP,rvol 0.35
IBTR,2026-05-08 14:00:25,0.1001,,SKIP,empty rvol window
BUUU,2026-05-08 14:01:19,-0.2595,,SKIP,gap -25.95%
NEPH,2026-05-08 14:02:26,0.123,19.19,PASS,ok
PHOE,2026-05-08 14:10:31,0.041,0.9,SKIP,rvol 0.90
OLOX,2026-05-08 14:13:18,0.1637,,SKIP,empty rvol window
PHOE,2026-05-08 14:18:56,-0.0894,,SKIP,gap -8.94%
OLOX,2026-05-08 14:32:18,0.0448,0.93,SKIP,rvol 0.93
STFS,2026-05-08 14:32:22,0.1915,,SKIP,empty rvol window
AEHL,2026-05-08 14:34:55,1.2551,0.67,SKIP,rvol 0.67
PHOE,2026-05-08 14:38:58,-0.3047,,SKIP,gap -30.47%
AEHL,2026-05-08 14:40:15,1.726,1.37,PASS,ok
STFS,2026-05-08 14:42:46,1.003,,SKIP,empty rvol window
AEHL,2026-05-08 14:50:31,2.2555,,SKIP,empty rvol window
STFS,2026-05-08 14:53:21,0.9148,,SKIP,empty rvol window
AEHL,2026-05-08 15:00:47,2.7654,,SKIP,empty rvol window
YMAT,2026-05-08 15:04:56,1.9211,2.03,PASS,ok
STFS,2026-05-08 15:05:26,0.6765,,SKIP,empty rvol window
STFS,2026-05-08 15:06:01,0.6765,,SKIP,empty rvol window
AIIO,2026-05-08 15:06:50,0.1266,0.35,SKIP,rvol 0.35
ATGL,2026-05-08 15:08:04,-0.1103,,SKIP,gap -11.03%
STFS,2026-05-08 15:17:40,0.3858,4.72,PASS,ok
AEHL,2026-05-08 15:21:05,4.1383,,SKIP,empty rvol window
AEHL,2026-05-08 15:21:32,4.1383,,SKIP,empty rvol window
STFS,2026-05-08 15:24:17,0.2523,3.22,PASS,ok
STFS,2026-05-08 15:30:40,0.2023,1.62,PASS,ok
AEHL,2026-05-08 15:31:55,3.3146,,SKIP,empty rvol window
STFS,2026-05-08 15:37:09,0.0629,2.75,PASS,ok
ANPA,2026-05-08 15:37:34,0.2563,,SKIP,empty rvol window
AEHL,2026-05-08 15:44:28,3.5303,,SKIP,empty rvol window
RPGL,2026-05-08 15:44:59,-0.3333,,SKIP,gap -33.33%
PTLE,2026-05-08 15:46:42,0.0081,,SKIP,gap 0.81%
ANPA,2026-05-08 15:49:02,0.5494,,SKIP,empty rvol window
AEHL,2026-05-08 15:50:37,2.7458,2.41,PASS,ok
ANPA,2026-05-08 15:54:24,0.9045,13.5,PASS,ok
ANPA,2026-05-08 15:55:07,0.9045,13.57,PASS,ok
AEHL,2026-05-08 15:56:14,2.9223,0.73,SKIP,rvol 0.73
AEHL,2026-05-08 16:06:30,2.6674,,SKIP,empty rvol window
ANPA,2026-05-08 16:07:13,0.34,14.87,PASS,ok
ANPA,2026-05-08 16:16:06,0.1575,7.41,PASS,ok
AEHL,2026-05-08 16:17:16,1.5495,,SKIP,empty rvol window
AEHL,2026-05-08 16:29:12,0.6082,1.96,PASS,ok
AEHL,2026-05-08 17:08:51,0.5345,0.45,SKIP,rvol 0.45
AEHL,2026-05-08 17:14:27,0.9023,0.95,SKIP,rvol 0.95
REPL,2026-05-08 17:19:33,0.1157,,SKIP,empty rvol window
AEHL,2026-05-08 17:19:51,1.1965,0.42,SKIP,rvol 0.42
AEHL,2026-05-08 17:35:05,0.6739,0.33,SKIP,rvol 0.33
STFS,2026-05-08 18:07:49,0.3655,4.48,PASS,ok
POM,2026-05-08 19:08:52,-0.3704,,SKIP,gap -37.04%
AEHL,2026-05-08 19:30:56,0.981,0.78,SKIP,rvol 0.78
MOBI,2026-05-08 20:00:06,,,SKIP,outside hours
