date,symbol,ret_pct,exit_px,window_dolvol_30m,last_bar_dolvol,window_shares,pct_vol_10k,pct_vol_25k,pct_vol_50k,pct_vol_100k,pct_vol_250k
2021-04-23,OCGN,-14.4,9.6871,230645162.0,4346135.0,23549176.0,0.0,0.01,0.02,0.04,0.11
2021-04-30,BTX,1.48,964.2254,149979355.0,4542439.0,151277.0,0.01,0.02,0.03,0.07,0.17
2021-05-04,BLRX,-14.67,201.0162,18520268.0,1551933.0,89210.0,0.05,0.13,0.27,0.54,1.35
2021-05-06,LEDS,23.15,10.0498,81591158.0,1528470.0,7920588.0,0.01,0.03,0.06,0.12,0.31
2021-05-06,LEDS,-10.4,10.0498,81591158.0,1528470.0,7920588.0,0.01,0.03,0.06,0.12,0.31
2021-05-14,IHT,-11.69,6.6533,12246464.0,206921.0,1751003.0,0.08,0.2,0.41,0.82,2.04
2021-06-07,HOOK,-29.58,127.1813,6285512.0,0.0,41168.0,0.16,0.4,0.8,1.59,3.98
2021-07-08,LMFA,29.43,32.8576,9636846.0,241130.0,288723.0,0.1,0.26,0.52,1.04,2.59
2021-07-08,COHN,3.64,27.0821,12313502.0,283397.0,444212.0,0.08,0.2,0.41,0.81,2.03
2021-07-08,MITQ,9.08,21.7454,6410056.0,115968.0,286339.0,0.16,0.39,0.78,1.56,3.9
2021-07-08,MITQ,20.21,21.7454,6410056.0,115968.0,286339.0,0.16,0.39,0.78,1.56,3.9
2021-07-09,MTSL,19.53,9.0573,7682514.0,481024.0,887176.0,0.13,0.33,0.65,1.3,3.25
2021-07-12,MDIA,209.34,15.576,213721262.0,10427657.0,15114469.0,0.0,0.01,0.02,0.05,0.12
2021-07-20,NURO,135.03,83.7102,114901588.0,3077784.0,1444759.0,0.01,0.02,0.04,0.09,0.22
2021-07-20,NURO,95.34,83.7102,114901588.0,3077784.0,1444759.0,0.01,0.02,0.04,0.09,0.22
2021-07-22,IPA,47.28,13.4264,58340835.0,9106089.0,4798925.0,0.02,0.04,0.09,0.17,0.43
2021-07-26,PRFX,-14.08,4009.95,301415.0,38435.0,75.0,3.32,8.29,16.59,33.18,82.94
2021-08-10,SCPE,21.2,14.4214,1914976.0,25206.0,131634.0,0.52,1.31,2.61,5.22,13.05
2021-08-12,FRLN,2.13,58.3538,2631808.0,140419.0,43738.0,0.38,0.95,1.9,3.8,9.5
2021-08-13,SESN,-64.91,41.895,67132025.0,0.0,2018282.0,0.01,0.04,0.07,0.15,0.37
2021-08-13,GRNVU,2.99,18.1645,3642.0,0.0,200.0,274.57,686.44,1372.87,2745.74,6864.36
2021-08-17,VRPX,77.07,3678.2563,149572360.0,4903347.0,41280.0,0.01,0.02,0.03,0.07,0.17
2021-08-26,TSRI,-2.2,10.0349,21485.0,0.0,2090.0,46.54,116.36,232.72,465.44,1163.6
2021-08-27,SPRT,-25.96,30.2542,275310010.0,8904727.0,8433285.0,0.0,0.01,0.02,0.04,0.09
2021-09-07,NMTC,-11.65,31.5404,979419.0,23189.0,31370.0,1.02,2.55,5.11,10.21,25.53
2021-09-07,NMTC,-16.37,31.5404,979419.0,23189.0,31370.0,1.02,2.55,5.11,10.21,25.53
2021-09-13,TMC,25.38,12.349,10037027.0,383636.0,800258.0,0.1,0.25,0.5,1.0,2.49
