date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2021-04-23,OCGN,2021-04-23 15:00:39,2021-04-23 19:50:00,11.3162,9.6871,4.4184,50.0,-8.2,-14.396,990.8,1.46
2021-04-30,BTX,2021-04-30 15:25:43,2021-04-30 19:50:00,950.127,964.2254,0.0521,49.54,-0.26,1.4838,989.54,1.16
2021-05-04,BLRX,2021-05-04 13:51:55,2021-05-04 19:50:00,235.572,201.0162,0.21,49.48,-8.26,-14.6689,980.28,1.4
2021-05-06,LEDS,2021-05-06 14:18:35,2021-05-06 19:50:00,8.1606,10.0498,6.0062,49.01,10.35,23.1504,988.63,2.34
2021-05-06,LEDS,2021-05-06 15:19:33,2021-05-06 19:50:00,11.2159,10.0498,4.3656,48.96,-6.09,-10.3967,982.54,1.06
2021-05-14,IHT,2021-05-14 15:42:12,2021-05-14 19:50:00,7.5339,6.6533,6.5208,49.13,-6.74,-11.688,974.79,1.66
2021-06-07,HOOK,2021-06-07 15:48:25,2021-06-07 19:50:00,180.5985,127.1813,0.2699,48.74,-15.42,-29.5779,958.38,3.15
2021-07-08,LMFA,2021-07-08 13:55:38,2021-07-08 19:50:00,25.3863,32.8576,1.8876,47.92,13.1,29.4306,967.48,4.18
2021-07-08,COHN,2021-07-08 14:01:13,2021-07-08 19:50:00,26.13,27.0821,1.832,47.87,0.74,3.6438,968.22,1.03
2021-07-08,MITQ,2021-07-08 15:22:03,2021-07-08 19:50:00,19.9358,21.7454,2.3986,47.82,3.34,9.0772,971.57,3.82
2021-07-08,MITQ,2021-07-08 15:42:19,2021-07-08 19:50:00,18.09,21.7454,2.6406,47.77,8.65,20.2067,980.22,1.12
2021-07-09,MTSL,2021-07-09 14:28:18,2021-07-09 19:50:00,7.5777,9.0573,6.4678,49.01,8.57,19.5257,987.79,2.76
2021-07-12,MDIA,2021-07-12 13:50:57,2021-07-12 19:50:00,5.0353,15.576,9.8087,49.39,102.39,209.3384,1089.18,2.18
2021-07-20,NURO,2021-07-20 14:41:03,2021-07-20 19:50:00,35.6172,83.7102,1.529,54.46,72.53,135.0275,1159.71,1.94
