trade_num,date,symbol,entry_ts,exit_ts,entry_px,exit_px,ret_pct,rvol,BOD_equity,pos_size,gross_pnl,commission,net_pnl,equity_after,positions_today
1,2021-04-23,OCGN,2021-04-23 15:00:39,2021-04-23 19:50:00,11.3162,9.6871,-14.396,1.46,900.0,90.0,-12.96,2.0,-14.96,885.04,1
2,2021-04-30,BTX,2021-04-30 15:25:43,2021-04-30 19:50:00,950.127,964.2254,1.4838,1.16,885.04,88.5,1.31,2.0,-0.69,884.36,1
3,2021-05-04,BLRX,2021-05-04 13:51:55,2021-05-04 19:50:00,235.572,201.0162,-14.6689,1.4,884.36,88.44,-12.97,2.0,-14.97,869.38,1
4,2021-05-06,LEDS,2021-05-06 14:18:35,2021-05-06 19:50:00,8.1606,10.0498,23.1504,2.34,869.38,86.94,20.13,2.0,18.13,887.51,1
5,2021-05-06,LEDS,2021-05-06 15:19:33,2021-05-06 19:50:00,11.2159,10.0498,-10.3967,1.06,869.38,86.94,-9.04,2.0,-11.04,876.47,2
6,2021-05-14,IHT,2021-05-14 15:42:12,2021-05-14 19:50:00,7.5339,6.6533,-11.688,1.66,876.47,87.65,-10.24,2.0,-12.24,864.23,1
7,2021-06-07,HOOK,2021-06-07 15:48:25,2021-06-07 19:50:00,180.5985,127.1813,-29.5779,3.15,864.23,86.42,-25.56,2.0,-27.56,836.67,1
8,2021-07-08,LMFA,2021-07-08 13:55:38,2021-07-08 19:50:00,25.3863,32.8576,29.4306,4.18,836.67,83.67,24.62,2.0,22.62,859.29,1
9,2021-07-08,COHN,2021-07-08 14:01:13,2021-07-08 19:50:00,26.13,27.0821,3.6438,1.03,836.67,83.67,3.05,2.0,1.05,860.34,2
10,2021-07-08,MITQ,2021-07-08 15:22:03,2021-07-08 19:50:00,19.9358,21.7454,9.0772,3.82,836.67,83.67,7.59,2.0,5.59,865.93,3
11,2021-07-08,MITQ,2021-07-08 15:42:19,2021-07-08 19:50:00,18.09,21.7454,20.2067,1.12,836.67,83.67,16.91,2.0,14.91,880.84,4
12,2021-07-09,MTSL,2021-07-09 14:28:18,2021-07-09 19:50:00,7.5777,9.0573,19.5257,2.76,880.84,88.08,17.2,2.0,15.2,896.04,1
13,2021-07-12,MDIA,2021-07-12 13:50:57,2021-07-12 19:50:00,5.0353,15.576,209.3384,2.18,896.04,89.6,187.58,2.0,185.58,1081.61,1
14,2021-07-20,NURO,2021-07-20 14:41:03,2021-07-20 19:50:00,35.6172,83.7102,135.0275,1.94,1081.61,108.16,146.05,2.0,144.05,1225.66,1
